agent,round,status,ended_in_trap,total_reward,steps,start_cell,final_cell
qlearning,1,LOSE,False,-32.0362513219303,146,"(0, 1)","(0, 1)"
qlearning,2,LOSE,True,-19.54440319862003,2,"(0, 0)","(0, 2)"
qlearning,3,LOSE,False,-32.30388302456235,142,"(5, 1)","(5, 1)"
qlearning,4,LOSE,False,-32.26254529559137,96,"(0, 5)","(2, 7)"
qlearning,5,LOSE,True,-13.971035332808345,1,"(0, 2)","(0, 1)"
qlearning,6,WIN,False,22.189487459174007,5,"(4, 5)","(7, 7)"
qlearning,7,WIN,False,17.58033548726374,1,"(7, 6)","(7, 7)"
qlearning,8,LOSE,False,-32.398821644553436,80,"(5, 0)","(3, 0)"
qlearning,9,LOSE,True,-16.098370183879847,1,"(3, 5)","(4, 5)"
qlearning,10,LOSE,False,-32.206413205230014,60,"(2, 5)","(2, 7)"
ddqn,1,LOSE,False,-32.0362513219303,146,"(0, 1)","(0, 1)"
ddqn,2,LOSE,False,-32.195856368528354,86,"(0, 0)","(6, 0)"
ddqn,3,LOSE,False,-32.30388302456235,142,"(5, 1)","(5, 1)"
ddqn,4,LOSE,False,-32.26254529559137,96,"(0, 5)","(3, 6)"
ddqn,5,LOSE,False,-32.043126411205954,128,"(0, 2)","(4, 2)"
ddqn,6,WIN,False,22.189487459174007,5,"(4, 5)","(7, 7)"
ddqn,7,WIN,False,17.58033548726374,1,"(7, 6)","(7, 7)"
ddqn,8,LOSE,False,-32.44347716229215,84,"(5, 0)","(7, 2)"
ddqn,9,LOSE,True,-16.098370183879847,1,"(3, 5)","(4, 5)"
ddqn,10,LOSE,False,-32.206413205230014,60,"(2, 5)","(4, 5)"
